,time,O,C,H,L,volume,amount,r_1,r_5,r_10,k,rsi,x_1,x_2,y_pred
475,2018-07-05 09:31:00,5027.429,4875.038,5042.7440000000015,4874.212,19329.0,19314752400.0,0.005433188418223629,0.05199733827715815,0.034768754623041034,16.13219914,30.68246922,-1.823276129672684,-1.4059631533711647,0.004717193736241757
476,2018-07-06 09:31:00,4888.378,4901.525,4998.7959999999985,4809.923,21163.0,20940588120.0,0.02858314504159432,0.047819199126802506,0.043614181300717605,17.53062272,33.08435225,-1.7567913736966658,-1.2365514197214782,0.004217157771284082
477,2018-07-09 09:31:00,4933.199000000001,5041.626,5044.18,4933.199000000001,15473.0,15557753880.0,0.004545755674855625,0.01950402509031797,0.02707995396723201,24.94704096,44.52317684,-1.4041952333323215,-0.4297381484246808,0.0018357663294859164
478,2018-07-10 09:31:00,5044.915,5064.544,5075.678,5002.0340000000015,14770.0,14984986200.0,-0.021271609053055862,0.011956259043262312,0.04098137956743977,32.14995117,46.21518083,-1.0617498294661918,-0.3103962297267968,0.0014835165166164322
479,2018-07-11 09:31:00,4945.066,4956.813,4997.315,4872.655,18995.0,18882175240.0,0.03464201695726668,0.02743859814764039,0.06406717380704083,33.34560472,39.7964309,-1.004905297065208,-0.7631291646462393,0.00281980382743921
480,2018-07-12 09:31:00,4960.323,5128.527,5138.491,4960.323,20882.0,21327814600.0,0.001439984619365408,-0.016377022096208088,0.02135700952729697,42.00356554,51.80044219,-0.5932829384321929,0.08354835377950545,0.0003207490051242416
481,2018-07-13 09:31:00,5126.325,5135.912,5151.9529999999995,5099.2159999999985,14323.0,14784683920.0,0.0007877860835620561,-0.004013113931858798,0.01371966653634247,49.54803887,52.26099016,-0.2345987203695753,0.11603212965536225,0.00022486983627551996
482,2018-07-16 09:31:00,5139.26,5139.958,5163.44,5092.475,16985.0,17524188400.0,-0.002891268761340049,0.007430994572329311,-0.00479070062440195,56.01562552,52.54049091,0.07288745644317697,0.1357461232272675,0.00016668197887904787
483,2018-07-17 09:31:00,5137.087,5125.097,5138.832,5056.864000000001,19969.0,20525214080.0,-0.006297636903262483,0.02868218884442573,0.0007556930142006098,60.74220885,51.29941963,0.29760173027955245,0.04820978840098937,0.00042505437558816594
484,2018-07-18 09:31:00,5133.1579999999985,5092.821,5168.106,5084.721,20448.0,21115770800.0,-0.00948079659583552,0.03565037922990024,-0.010763975407735616,63.78207646,48.50024075,0.4421250772401717,-0.14922436677366446,0.001007801368205016
485,2018-07-19 09:31:00,5096.098,5044.537,5115.365,5011.4209999999985,21486.0,21898060000.0,0.014027848343663494,0.03836229172270905,-0.026636537704055014,64.06858946,44.42097219,0.4557466631182909,-0.4369469369990183,0.0018570438022635608
